fall_year,spring_year,year_str,geo_id_b2020,geo_nm_b2020,grade,count,basez
2023,2024,2023-2024,3.7063E+14,Block 1007,3,1,0
2024,2025,2024-2025,3.7063E+14,Block 1007,4,1,0
2021,2022,2021-2022,3.7063E+14,Block 1008,0,1,0
2023,2024,2023-2024,3.7063E+14,Block 1008,0,1,0
2022,2023,2022-2023,3.7063E+14,Block 1008,1,1,0
2024,2025,2024-2025,3.7063E+14,Block 1008,1,1,1
2023,2024,2023-2024,3.7063E+14,Block 1008,2,1,0
2024,2025,2024-2025,3.7063E+14,Block 1008,3,1,1
2024,2025,2024-2025,3.7063E+14,Block 1008,8,1,0
2024,2025,2024-2025,3.7063E+14,Block 1008,10,1,0
2020,2021,2020-2021,3.7063E+14,Block 1009,0,1,1
2020,2021,2020-2021,3.7063E+14,Block 1009,1,1,0
2021,2022,2021-2022,3.7063E+14,Block 1009,1,1,1
2022,2023,2022-2023,3.7063E+14,Block 1009,2,1,1
2023,2024,2023-2024,3.7063E+14,Block 1009,2,1,0
2023,2024,2023-2024,3.7063E+14,Block 1009,3,1,1
2024,2025,2024-2025,3.7063E+14,Block 1009,3,1,1
2023,2024,2023-2024,3.7063E+14,Block 1009,4,1,0
2024,2025,2024-2025,3.7063E+14,Block 1009,4,1,1
2024,2025,2024-2025,3.7063E+14,Block 1009,5,1,0
2021,2022,2021-2022,3.7063E+14,Block 1009,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1009,10,1,0
2023,2024,2023-2024,3.7063E+14,Block 1010,-2,1,0
2022,2023,2022-2023,3.7063E+14,Block 1010,-1,1,0
2023,2024,2023-2024,3.7063E+14,Block 1010,-1,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,-1,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,0,2,0
2020,2021,2020-2021,3.7063E+14,Block 1010,1,1,1
2020,2021,2020-2021,3.7063E+14,Block 1010,2,1,1
2021,2022,2021-2022,3.7063E+14,Block 1010,2,1,1
2022,2023,2022-2023,3.7063E+14,Block 1010,3,1,1
2023,2024,2023-2024,3.7063E+14,Block 1010,4,2,2
2020,2021,2020-2021,3.7063E+14,Block 1010,5,1,1
2024,2025,2024-2025,3.7063E+14,Block 1010,5,2,2
2023,2024,2023-2024,3.7063E+14,Block 1010,6,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,6,2,2
2020,2021,2020-2021,3.7063E+14,Block 1010,7,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,7,1,0
2021,2022,2021-2022,3.7063E+14,Block 1010,8,2,1
2021,2022,2021-2022,3.7063E+14,Block 1010,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1010,9,2,1
2023,2024,2023-2024,3.7063E+14,Block 1010,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1010,10,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,10,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,11,1,1
2020,2021,2020-2021,3.7063E+14,Block 1010,12,1,1
2021,2022,2021-2022,3.7063E+14,Block 1010,12,1,0
2022,2023,2022-2023,3.7063E+14,Block 1010,12,1,0
2024,2025,2024-2025,3.7063E+14,Block 1010,12,2,0
2022,2023,2022-2023,3.7063E+14,Block 1011,0,1,0
2024,2025,2024-2025,3.7063E+14,Block 1011,0,1,1
2020,2021,2020-2021,3.7063E+14,Block 1011,2,1,0
2024,2025,2024-2025,3.7063E+14,Block 1011,2,1,1
2021,2022,2021-2022,3.7063E+14,Block 1011,3,1,0
2022,2023,2022-2023,3.7063E+14,Block 1011,4,1,0
2020,2021,2020-2021,3.7063E+14,Block 1011,5,2,1
2021,2022,2021-2022,3.7063E+14,Block 1011,5,1,0
2023,2024,2023-2024,3.7063E+14,Block 1011,5,1,0
2021,2022,2021-2022,3.7063E+14,Block 1011,6,1,1
2022,2023,2022-2023,3.7063E+14,Block 1011,6,1,0
